Timestamp;From;To
2014-04-01 09:10:36;Zach@DutchFlowers.nl;Quincy@DutchFlowers.nl
2014-04-01 09:12:45;Britt@DutchFlowers.nl;Yorik@DutchFlowers.nl
2014-04-01 09:16:19;Willem@DutchFlowers.nl;Ellen@DutchFlowers.nl
2014-04-01 09:17:22;Helen@DutchFlowers.nl;Ursul@DutchFlowers.nl
2014-04-01 09:18:29;Helen@DutchFlowers.nl;Anouk@DutchFlowers.nl
2014-04-01 09:18:51;Quincy@DutchFlowers.nl;Ursul@DutchFlowers.nl
2014-04-01 09:20:40;Ursul@DutchFlowers.nl;Grace@DutchFlowers.nl
2014-04-01 09:22:04;Yorik@DutchFlowers.nl;Ton@DutchFlowers.nl
2014-04-01 09:22:48;Leontien@DutchFlowers.nl;Peter@DutchFlowers.nl
2014-04-01 09:23:33;Zach@DutchFlowers.nl;Ellen@DutchFlowers.nl
2014-04-01 09:24:57;Koosje@DutchFlowers.nl;Dolores@DutchFlowers.nl
2014-04-01 09:26:58;Jantien@DutchFlowers.nl;Claudia@DutchFlowers.nl
2014-04-01 09:29:06;Fiona@DutchFlowers.nl;Jantien@DutchFlowers.nl
2014-04-01 09:33:30;Victor@DutchFlowers.nl;Britt@DutchFlowers.nl
2014-04-01 09:34:19;Grace@DutchFlowers.nl;Ursul@DutchFlowers.nl
2014-04-01 09:36:57;Willem@DutchFlowers.nl;Yorik@DutchFlowers.nl
2014-04-01 09:38:39;Grace@DutchFlowers.nl;Willem@DutchFlowers.nl
2014-04-01 09:41:47;Yorik@DutchFlowers.nl;Xander@DutchFlowers.nl
2014-04-01 09:43:32;Anouk@DutchFlowers.nl;Dolores@DutchFlowers.nl
2014-04-01 09:46:42;Ursul@DutchFlowers.nl;Grace@DutchFlowers.nl
2014-04-01 09:48:28;Anouk@DutchFlowers.nl;Steve@DutchFlowers.nl
2014-04-01 09:51:34;Ursul@DutchFlowers.nl;Grace@DutchFlowers.nl
2014-04-01 09:56:03;Dolores@DutchFlowers.nl;Jantien@DutchFlowers.nl
2014-04-01 09:57:18;Steve@DutchFlowers.nl;Manon@DutchFlowers.nl
2014-04-01 09:57:59;Grace@DutchFlowers.nl;Ursul@DutchFlowers.nl
2014-04-01 09:58:37;Leontien@DutchFlowers.nl;Fiona@DutchFlowers.nl
2014-04-01 09:59:39;Claudia@DutchFlowers.nl;Peter@DutchFlowers.nl
2014-04-01 10:01:49;Helen@DutchFlowers.nl;Willem@DutchFlowers.nl
2014-04-01 10:04:39;Anouk@DutchFlowers.nl;Manon@DutchFlowers.nl
2014-04-01 10:09:28;Britt@DutchFlowers.nl;Steve@DutchFlowers.nl
2014-04-01 10:12:41;Britt@DutchFlowers.nl;Dolores@DutchFlowers.nl
2014-04-01 10:14:52;Leontien@DutchFlowers.nl;Fiona@DutchFlowers.nl
2014-04-01 10:14:59;Helen@DutchFlowers.nl;Steve@DutchFlowers.nl
2014-04-01 10:19:52;Yorik@DutchFlowers.nl;Victor@DutchFlowers.nl
2014-04-01 10:23:33;Ursul@DutchFlowers.nl;Grace@DutchFlowers.nl
2014-04-01 10:26:47;Ursul@DutchFlowers.nl;Claudia@DutchFlowers.nl
2014-04-01 10:26:54;Manon@DutchFlowers.nl;Nico@DutchFlowers.nl
2014-04-01 10:30:43;Ellen@DutchFlowers.nl;Anouk@DutchFlowers.nl
2014-04-01 10:31:15;Ursul@DutchFlowers.nl;Otto@DutchFlowers.nl
2014-04-01 10:34:38;Britt@DutchFlowers.nl;Yorik@DutchFlowers.nl
2014-04-01 10:36:58;Claudia@DutchFlowers.nl;Anouk@DutchFlowers.nl
2014-04-01 10:40:30;Fiona@DutchFlowers.nl;Helen@DutchFlowers.nl
2014-04-01 10:42:14;Fiona@DutchFlowers.nl;Dolores@DutchFlowers.nl
2014-04-01 10:44:34;Nico@DutchFlowers.nl;Koosje@DutchFlowers.nl
